restaurant_name,location,item_name,price
Cozy Place,Location A,Burger,8.99
Cozy Place,Location A,Pasta,12.99
Cozy Place,Location A,Soda,2.50
Family-friendly Spot,Location B,Pizza,10.99
Family-friendly Spot,Location B,Salad,7.99
Family-friendly Spot,Location B,Soft Drink,1.99
Authentic Cuisine Experience,Location C,Sushi Combo,15.99
Authentic Cuisine Experience,Location C,Ramen,11.99
Authentic Cuisine Experience,Location C,Green Tea Ice Cream,4.50
Quick Bites for Busy Folks,Location D,Sandwich,6.49
Quick Bites for Busy Folks,Location D,Fries,3.99
Quick Bites for Busy Folks,Location D,Smoothie,5.00
Casual Hangout Spot,Location E,Chicken Wings,9.99
Casual Hangout Spot,Location E,Caesar Salad,8.49
Casual Hangout Spot,Location E,Iced Coffee,3.00
Fine Dining Experience,Location F,Steak,22.99
Fine Dining Experience,Location F,Shrimp Scampi,18.99
Fine Dining Experience,Location F,Red Wine,7.50
Vegetarian Delights,Location G,Veggie Burger,10.49
Vegetarian Delights,Location G,Quinoa Bowl,13.99
Vegetarian Delights,Location G,Sparkling Water,1.50
International Flavors,Location H,Fish Tacos,14.99
International Flavors,Location H,Chicken Quesadilla,11.99
International Flavors,Location H,Margarita,8.00
